hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
8,2,leaky_relu,0.001,512,20,0.5,0.720541852
4,1,leaky_relu,0.001,1024,20,0.1,0.72210071
4,2,leaky_relu,0.001,512,20,0.3,0.724354519
16,8,leaky_relu,0.001,1024,20,0.4,0.728489267
16,8,leaky_relu,0.001,512,20,0.4,0.729385972
4,4,leaky_relu,0.001,1024,20,0.2,0.730315192
4,4,leaky_relu,0.001,512,20,0.2,0.732737518
8,1,leaky_relu,0.001,512,20,0.5,0.733883286
16,4,leaky_relu,0.0001,512,20,0.5,0.73397514
1,2,leaky_relu,0.001,1024,20,0.1,0.734171277
2,4,leaky_relu,0.001,1024,20,0.1,0.735140638
